t,action,id,from,to
211,0,109-531-531,109-531,531
212,1,109-531-109,109-531,109
212,1,109-531-531,109-531,531
212,1,109-531-179,109-531,179
213,0,524-79-531,524-79,531
214,1,37-92-37,37-92,37
214,1,37-92-92,37-92,92
214,1,37-92-531,37-92,531
215,0,119-169-189,119-169,189
216,1,119-169-189,119-169,189
217,0,119-169-207,119-169,207
218,1,119-169-207,119-169,207
219,0,532-533-224,532-533,224
219,0,532-533-532,532-533,532
219,0,532-533-533,532-533,533
220,1,532-533-532,532-533,532
220,1,532-533-533,532-533,533
220,1,532-533-224,532-533,224
220,0,48-92-533,48-92,533
220,0,48-92-48,48-92,48
220,0,48-92-92,48-92,92
221,0,23-514-532,23-514,532
221,0,23-514-23,23-514,23
221,0,23-514-514,23-514,514
222,1,23-78-23,23-78,23
222,1,23-78-78,23-78,78
222,1,23-78-532,23-78,532
224,1,48-67-48,48-67,48
224,1,48-67-67,48-67,67
224,1,48-67-533,48-67,533
225,0,510-87-100,510-87,100
225,0,510-87-510,510-87,510
225,0,510-87-87,510-87,87
226,1,510-87-510,510-87,510
226,1,510-87-87,510-87,87
226,1,510-87-100,510-87,100
227,0,1-92-102,1-92,102
228,1,1-92-102,1-92,102
229,0,1-92-135,1-92,135
230,1,1-92-135,1-92,135
231,0,2-534-103,2-534,103
231,0,2-534-2,2-534,2
231,0,2-534-534,2-534,534
232,1,2-534-2,2-534,2
232,1,2-534-534,2-534,534
232,1,2-534-103,2-534,103
233,0,512-84-105,512-84,105
234,1,512-84-105,512-84,105
235,0,512-84-137,512-84,137
236,1,512-84-137,512-84,137
237,0,513-72-139,513-72,139
237,0,513-72-513,513-72,513
237,0,513-72-72,513-72,72
238,1,517-72-517,517-72,517
238,1,517-72-72,517-72,72
238,1,517-72-139,517-72,139
239,0,513-535-107,513-535,107
239,0,513-535-513,513-535,513
239,0,513-535-535,513-535,535
240,1,535-513-535,535-513,535
240,1,535-513-513,535-513,513
240,1,535-513-107,535-513,107
241,0,515-61-141,515-61,141
241,0,515-61-515,515-61,515
241,0,515-61-61,515-61,61
242,1,515-61-515,515-61,515
242,1,515-61-61,515-61,61
242,1,515-61-141,515-61,141
243,0,6-87-108,6-87,108
243,0,6-87-6,6-87,6
243,0,6-87-87,6-87,87
244,1,6-87-6,6-87,6
244,1,6-87-87,6-87,87
244,1,6-87-108,6-87,108
245,0,6-85-109,6-85,109
245,0,6-85-6,6-85,6
245,0,6-85-85,6-85,85
246,1,6-85-6,6-85,6
246,1,6-85-85,6-85,85
246,1,6-85-109,6-85,109
247,0,13-74-110,13-74,110
247,0,13-74-13,13-74,13
247,0,13-74-74,13-74,74
248,1,13-74-13,13-74,13
248,1,13-74-74,13-74,74
248,1,13-74-110,13-74,110
249,0,13-70-144,13-70,144
249,0,13-70-13,13-70,13
249,0,13-70-70,13-70,70
250,1,13-70-13,13-70,13
250,1,13-70-70,13-70,70
250,1,13-70-144,13-70,144
251,0,13-62-146,13-62,146
251,0,13-62-13,13-62,13
251,0,13-62-62,13-62,62
252,1,13-62-13,13-62,13
252,1,13-62-62,13-62,62
252,1,13-62-146,13-62,146
253,0,15-536-111,15-536,111
253,0,15-536-15,15-536,15
253,0,15-536-536,15-536,536
254,1,15-514-15,15-514,15
254,1,15-514-514,15-514,514
254,1,15-514-111,15-514,111
255,0,517-511-148,517-511,148
256,1,517-511-148,517-511,148
257,0,517-511-113,517-511,113
258,1,517-511-113,517-511,113
259,0,518-50-152,518-50,152
259,0,518-50-518,518-50,518
259,0,518-50-50,518-50,50
260,1,518-50-518,518-50,518
260,1,518-50-50,518-50,50
260,1,518-50-152,518-50,152
261,0,26-519-153,26-519,153
261,0,26-519-26,26-519,26
261,0,26-519-519,26-519,519
262,1,26-519-26,26-519,26
262,1,26-519-519,26-519,519
262,1,26-519-153,26-519,153
263,0,26-92-154,26-92,154
263,0,26-92-26,26-92,26
263,0,26-92-92,26-92,92
264,1,26-92-26,26-92,26
264,1,26-92-92,26-92,92
264,1,26-92-154,26-92,154
265,0,13-520-155,13-520,155
265,0,13-520-13,13-520,13
265,0,13-520-520,13-520,520
266,1,13-520-13,13-520,13
266,1,13-520-520,13-520,520
266,1,13-520-155,13-520,155
267,0,30-537-157,30-537,157
267,0,30-537-30,30-537,30
267,0,30-537-537,30-537,537
268,1,30-536-157,30-536,157
269,0,30-536-116,30-536,116
270,1,30-514-30,30-514,30
270,1,30-514-514,30-514,514
270,1,30-514-116,30-514,116
271,0,30-511-118,30-511,118
271,0,30-511-30,30-511,30
271,0,30-511-511,30-511,511
272,1,30-511-30,30-511,30
272,1,30-511-511,30-511,511
272,1,30-511-118,30-511,118
273,0,30-87-158,30-87,158
274,1,30-87-158,30-87,158
275,0,30-87-159,30-87,159
276,1,30-87-159,30-87,159
277,0,522-523-160,522-523,160
277,0,522-523-522,522-523,522
277,0,522-523-523,522-523,523
278,1,523-511-523,523-511,523
278,1,523-511-511,523-511,511
278,1,523-511-160,523-511,160
279,0,13-519-161,13-519,161
279,0,13-519-13,13-519,13
279,0,13-519-519,13-519,519
280,1,13-519-13,13-519,13
280,1,13-519-519,13-519,519
280,1,13-519-161,13-519,161
281,0,13-55-162,13-55,162
281,0,13-55-13,13-55,13
